redirect_id,original_redirect_id,old_url,url_input_id,is_input_element,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,url_index,parsed_at,method
page_1_845_url_0,845,/bdsm,24789,True,/bdsm,/,Структура сайту,БДСМ,4,1089,1,50,0,2025-08-20T22:24:23.100777,super_optimized_evaluate_all_with_inputs
page_1_846_url_0,846,/ihry/filter/page=3/,20363,True,/ihry,/,Структура сайту,Ігри 18+,4,1090,1,51,0,2025-08-20T22:24:23.100779,super_optimized_evaluate_all_with_inputs
page_1_846_url_1,846,/ihry,24790,True,/ihry,/,Структура сайту,Ігри 18+,4,1090,1,51,1,2025-08-20T22:24:23.100780,super_optimized_evaluate_all_with_inputs
page_1_847_url_0,847,/vakuumni,358,True,/vakuumni-stymuliatory,/,Структура сайту,Вакуумні стимулятори,4,1091,1,52,0,2025-08-20T22:24:23.100782,super_optimized_evaluate_all_with_inputs
page_1_847_url_1,847,/vakuumni/,435,True,/vakuumni-stymuliatory,/,Структура сайту,Вакуумні стимулятори,4,1091,1,52,1,2025-08-20T22:24:23.100783,super_optimized_evaluate_all_with_inputs
page_1_847_url_2,847,/vakuumni-stymuliatory,24791,True,/vakuumni-stymuliatory,/,Структура сайту,Вакуумні стимулятори,4,1091,1,52,2,2025-08-20T22:24:23.100784,super_optimized_evaluate_all_with_inputs
page_1_847_url_3,847,/ru/vakuumnyi-stymuliator-klitora-so-divine-selflove/,57881,True,/vakuumni-stymuliatory,/,Структура сайту,Вакуумні стимулятори,4,1091,1,52,3,2025-08-20T22:24:23.100787,super_optimized_evaluate_all_with_inputs
page_1_849_url_0,849,/hihiyena-ta-zdorovya,24792,True,/hihiyena-ta-zdorovya,/,Структура сайту,Гігієна та здоров'я,4,1093,1,53,0,2025-08-20T22:24:23.100789,super_optimized_evaluate_all_with_inputs
page_1_852_url_0,852,/universalni,363,True,/vibratory-krolyky,/,Структура сайту,Вібратори-кролики,4,1096,1,54,0,2025-08-20T22:24:23.100792,super_optimized_evaluate_all_with_inputs
page_1_852_url_1,852,/vibratory-krolyky/filter/page=4/,20319,True,/vibratory-krolyky,/,Структура сайту,Вібратори-кролики,4,1096,1,54,1,2025-08-20T22:24:23.100793,super_optimized_evaluate_all_with_inputs
page_1_852_url_2,852,/vibratory-krolyky,24793,True,/vibratory-krolyky,/,Структура сайту,Вібратори-кролики,4,1096,1,54,2,2025-08-20T22:24:23.100794,super_optimized_evaluate_all_with_inputs
page_1_853_url_0,853,/na-dystantsiynomu-keruvanni,24794,True,/na-dystantsiynomu-keruvanni,/,Структура сайту,Віброяйця,4,1097,1,55,0,2025-08-20T22:24:23.100796,super_optimized_evaluate_all_with_inputs
page_1_855_url_0,855,/vibrokuli,24795,True,/vibrokuli,/,Структура сайту,Віброкулі,4,1099,1,56,0,2025-08-20T22:24:23.100797,super_optimized_evaluate_all_with_inputs
